post_code,seq_key,fips,pub_seq,lib_code,name,addr,city,zip,zip4,phone,service_pop,num_main,num_branch,num_bookmobile,num_other,fte_lib_ms,fte_lib,fte_other,fte_tot,inc_local,inc_state,inc_fed,inc_other,inc_total,opx_sal,opx_ben,opx_tot_st,opx_tot_cl,opx_oth,opx_total,cap_outlay,col_books,col_audio,col_film,col_video,col_c_serial,pshours,attendance,reference_trans,circulation,ill_out,ill_in
IA,0425,19,0425,WU01,ARNOLDS PARK PUBLIC LIBRARY,10 BROADWAY STREET,ARNOLDS PARK,51331,0000,7123322033,1783,1,0,0,0,0,0.5,0.22,0.72,17970,0,0,135,18105,7257,902,8159,5995,3951,18105,0,10631,79,0,54,54,1144,6198,258,12117,0,40
IA,0426,19,0426,WV01,LAKE PARK PUBLIC LIBRARY,MAIN STREET,LAKE PARK,51347,0000,7128329505,1728,1,0,0,0,0,0.75,0,0.75,15100,0,0,40,15140,6222,1035,7257,4403,3606,15266,292,6283,0,0,0,12,1560,NA,NA,5364,0,56
IA,0427,19,0427,WW01,MILFORD PUBLIC LIBRARY,1020 10TH ST,MILFORD,51351,0000,7123384643,3147,1,0,0,0,0,0.77,0.25,1.02,21135,0,0,15405,36540,18646,2355,21001,9216,11710,41927,2768,15217,25,14,35,42,2496,10753,1116,16144,0,38
IA,0428,19,0428,WX01,SPIRIT LAKE PUBLIC LIBRARY,1801 HILL AVENUE,SPIRIT LAKE,51360,0000,7123362667,5482,1,0,0,0,0,1.7,1.28,2.98,67002,0,0,0,67002,37204,6166,43370,13067,11974,68411,208565,22271,863,8,47,91,2288,30297,4101,62215,70,408
IA,0429,19,0429,WY01,TERRIL PUBLIC LIBRARY,115 N STATE ST,TERRIL,51364,0000,7128536224,1115,1,0,0,0,0,0.5,0,0.5,11131,0,0,2652,13783,5270,897,6167,3226,2937,12330,0,15918,253,0,5,35,520,2812,468,5692,0,25
IA,0430,19,0430,WZ01,ARMSTRONG PUBLIC LIBRARY,6TH STREET,ARMSTRONG,50514,0000,7128643353,2314,1,0,0,0,0,1.12,0.07,1.19,10200,0,0,592,10792,5258,0,5258,3091,2779,11128,0,16249,411,0,16,42,832,6001,260,16629,0,25
IA,0512,19,0512,W301,HARPERS FERRY PUBLIC LIBRARY,,HARPERS FERRY,,,,284,1,0,0,0,0,0.1,0,0.1,3000,0,0,6789,9789,NA,NA,NA,NA,NA,NA,9364,NA,0,0,0,3,624,NA,NA,NA,0,0
IA,0431,19,0431,XA01,SHENANDOAH PUBLIC LIBRARY,201 S ELM,SHENANDOAH,51601,0000,7122462315,7643,1,0,0,0,1,2.75,1.9,4.65,91464,46,0,19060,110570,60519,0,60519,24798,14194,99511,0,43245,1101,4,334,131,2496,36066,6397,67421,209,654
IA,0432,19,0432,XB01,CLARINDA PUBLIC LIBRARY,300 N 16TH,CLARINDA,51632,0000,7125422416,7224,1,0,0,2,0,2.65,0.3,2.95,101552,38,0,3079,104669,50382,7596,57978,16572,13475,88025,1346,39047,5455,0,138,108,2392,38412,3944,59965,121,415
IA,0433,19,0433,XC01,ESSEX PUBLIC LIBRARY,"501 IOWA, BOX 298",ESSEX,51638,0000,7123793355,1656,1,0,0,0,0,0.67,0,0.67,9815,0,0,547,10362,6250,850,7100,3307,450,10857,0,11712,147,0,35,32,1040,7110,624,17359,21,85
IA,0434,19,0434,XD01,ELLIOTT PUBLIC LIBRARY,"401 MAIN STREET, BOX 306",ELLIOTT,51532,0000,7127672355,890,1,0,0,0,0,0.7,0.05,0.75,15000,385,0,1279,16664,6111,470,6581,4843,7572,18996,0,9000,183,0,2,43,1040,5817,345,7149,32,51
IA,0435,19,0435,XE01,RED OAK PUBLIC LIBRARY,400 N. 2ND STREET,RED OAK,51566,0000,7126233570,8344,1,0,0,0,0,3,1.88,4.88,101150,515,0,1830,103495,50544,385,50929,25804,27488,104221,33986,39853,1068,23,163,107,2808,56558,9152,92235,246,438
IA,0436,19,0436,XF01,STANTON PUBLIC LIBRARY,310 BROAD AVENUE,STANTON,51573,0000,7128292290,1108,1,0,0,0,0,0.5,0,0.5,6450,0,0,1103,7553,2930,385,3315,4480,0,7795,0,8512,25,0,1,44,1040,3618,260,9626,1,3
IA,0437,19,0437,XG01,VILLISCA PUBLIC LIBRARY,204 S 3RD AVE,VILLISCA,50864,0000,7128262452,2088,1,0,0,0,0,0.65,0.2,0.85,18700,0,0,3800,22500,9000,1500,10500,5000,4700,20200,2600,13538,292,0,10,52,936,3011,145,7819,58,69
IA,0438,19,0438,XH01,GLENWOOD PUBLIC LIBRARY,109 NORTH VINE,GLENWOOD,51534,0000,7125275252,7474,1,0,0,0,0,3.83,4.1,7.93,151386,165,3582,22485,177618,90373,34438,124811,23894,24993,173698,2242,25622,763,0,336,119,2340,49136,1587,89846,231,300
IA,0439,19,0439,XI01,LEWIS PUBLIC LIBRARY,MAIN ST.,LEWIS,51544,,7127692228,1301,1,0,0,0,0,0.25,0,0.25,2955,0,0,0,2955,1856,0,1856,681,0,2537,0,6277,19,0,0,4,520,780,203,2891,0,50
IA,0440,19,0440,XJ01,MALVERN PUBLIC LIBRARY,502 MAIN STREET,MALVERN,51551,0000,7126248554,2011,1,0,0,0,0,0.65,0,0.65,14874,0,0,1235,16109,6350,798,7148,4281,9525,20954,0,13417,133,0,156,46,1040,5294,416,9147,30,98
IA,0441,19,0441,XK01,SILVER CITY PUBLIC LIBRARY,"MAIN STREET, BOX 126",SILVER CITY,51571,0000,0000000000,953,1,0,0,0,0,0.3,0,0.3,4658,0,0,961,5619,2219,449,2668,614,2089,5371,0,8265,121,0,8,36,624,2966,416,3416,0,19
IA,0442,19,0442,XL01,EMERSON PUBLIC LIBRARY,410 MANCHESTER,EMERSON,51533,0000,7128247866,1127,1,0,0,0,0,0.5,0,0.5,4103,0,0,473,4576,2114,273,2387,690,1076,4153,0,5634,30,1,16,13,1456,3034,169,4808,6,97
IA,0445,19,0445,XP01,SIDNEY PUBLIC LIBRARY,"BOX 479, CLAY STREET",SIDNEY,51652,0000,7123742223,2004,1,0,0,0,0,0.25,0,0.25,4400,0,0,42,4442,2188,0,2188,4924,300,7412,0,6213,0,0,1,2,520,2700,41,5693,0,16
IA,0446,19,0446,XQ01,TABOR PUBLIC LIBRARY,805 MAIN STREET,TABOR,51653,0000,7126292735,1905,1,0,0,1,0,0.5,0,0.5,5476,0,0,869,6345,3313,368,3681,1745,2398,7824,0,6769,18,0,8,15,832,2615,51,4357,0,88
IA,0447,19,0447,XR01,ANITA PUBLIC LIBRARY,"812 THIRD ST., BOX 366",ANITA,50020,,7127623639,2446,1,0,0,0,0,0.78,0,0.78,14927,0,0,1259,16186,7737,957,8694,4035,2135,14864,2182,7976,131,2,9,45,1612,7730,364,15445,48,125
IA,0448,19,0448,XS01,ATLANTIC PUBLIC LIBRARY,507 POPLAR,ATLANTIC,50022,0000,7122435466,7432,1,0,0,0,0,1.87,1.68,3.55,55203,0,0,5948,61151,38758,0,38758,16743,4227,59728,0,34133,1604,0,80,99,2496,48215,16224,74333,133,207
IA,0449,19,0449,XT01,CUMBERLAND PUBLIC LIBRARY,"MAIN STREET, BOX 150",CUMBERLAND,50843,0000,7127745614,1163,1,0,0,0,0,0.27,0,0.27,4000,0,0,0,4000,2070,250,2320,1582,98,4000,0,5457,0,0,128,11,624,4490,30,6238,4,83
IA,0450,19,0450,XU01,GRISWOLD PUBLIC LIBRARY,505 MAIN ST.,GRISWOLD,51535,0000,7127784130,2223,1,0,0,2,0,0.7,0.3,1,16200,0,0,100,16300,9743,0,9743,3400,3240,16383,0,18511,0,0,0,10,1248,13880,780,13873,9,72
IA,0451,19,0451,XV01,MASSENA PUBLIC LIBRARY,100 MAIN,MASSENA,50853,0000,7127793726,1240,1,0,0,0,0,0.26,0,0.26,5243,0,0,0,5243,2392,281,2673,1858,588,5119,125,4299,0,0,0,18,520,1688,104,4387,30,20
IA,0452,19,0452,XW01,AVOCA PUBLIC LIBRARY,"430 NORTH ELM, BOX 219",AVOCA,51521,0000,7123436358,3663,1,0,0,0,0,1.5,0.2,1.7,23420,0,0,24024,47444,21752,9046,30798,9031,10510,50339,0,14543,247,20,53,34,2132,20406,512,22403,32,228
IA,0453,19,0453,XX01,COUNCIL BLUFFS PUBLIC LIBRARY,200 PEARL STREET,COUNCIL BLUFFS,51501,0000,7123237553,67509,1,0,0,0,5,7,15.92,22.92,633811,0,0,62406,696217,362524,45541,408065,103647,93567,605279,0,200231,4725,193,557,465,3380,158581,21176,246845,4264,243
IA,0454,19,0454,XY01,OAKLAND PUBLIC LIBRARY,207 S HIGHWAY,OAKLAND,51560,0000,7124826668,4253,1,0,0,0,0,0.52,0.47,0.99,7996,0,0,1002,8998,13760,3165,16925,6120,2589,25634,0,19428,357,53,16,54,1092,6344,260,20893,52,140
IA,0455,19,0455,XZ01,WALNUT PUBLIC LIBRARY,CENTRAL STREET,WALNUT,51577,0000,7127843533,1842,1,0,0,0,0,0.5,0.13,0.63,8442,0,0,675,9117,4999,631,5630,974,2241,8845,9,7655,131,9,0,44,1040,5248,260,9562,13,41
IA,0456,19,0456,YA01,BONDURANT PUBLIC LIBRARY,103 MAIN SE,BONDURANT,50035,0000,5159674790,2462,1,0,0,0,0,0.53,0.03,0.56,17542,0,0,0,17542,8135,1079,9214,4948,3674,17836,0,7086,0,0,48,24,1061,4275,175,11563,0,128
IA,0457,19,0457,YB01,CENTRAL CITY PUBLIC LIBRARY,137 4TH STREET N.,CENTRAL CITY,52214,0000,3194386685,1504,1,0,0,0,0,0.4,0,0.4,16787,0,0,712,17499,4368,784,5152,3136,5675,13963,1234,15010,24,0,2,47,1456,9627,606,13619,0,72
IA,0458,19,0458,YC01,HIAWATHA PUBLIC LIBRARY,350 W. CLARK ST.,HIAWATHA,52233,0000,3193931414,5367,1,0,0,0,0,1.58,1.38,2.96,47835,5716,0,2112,55663,29666,1227,30893,18238,925,50056,0,17033,335,0,106,82,2808,20602,1480,42243,23,43
IA,0459,19,0459,YD01,LISBON PUBLIC LIBRARY,101 E MAIN,LISBON,52253,0217,3194552800,1672,1,0,0,0,0,0.59,0,0.59,16971,29,0,662,17662,6403,0,6403,2340,6448,15191,3018,5798,50,0,0,18,1196,NA,NA,7640,0,33
IA,0460,19,0460,YE01,MARION PUBLIC LIBRARY,1298 7TH AVENUE,MARION,52302,3405,3193773412,24592,1,0,0,0,2,3.75,5.25,9,280359,10008,0,10320,300687,158921,36361,195282,63149,41190,299621,8750,66927,1860,0,331,151,2964,NA,6504,193691,42,146
IA,0461,19,0461,YF01,SPRINGVILLE PUBLIC LIBRARY,304 BROADWAY,SPRINGVILLE,52336,0000,3198546444,1509,1,0,0,0,0,0.35,0.1,0.45,13400,0,0,1130,14530,4236,568,4804,4782,2345,11931,0,9325,283,0,52,31,1092,7796,940,13135,8,137
IA,0462,19,0462,YG01,WEST BRANCH PUBLIC LIBRARY,124 WEST MAIN STREET,WEST BRANCH,52358,0000,3196435434,4200,1,0,0,1,0,0.87,0.95,1.82,32658,989,0,8043,41690,22706,3026,25732,9899,8977,44608,42392,21144,1959,65,883,53,1404,10507,1548,27265,2,33
IA,0463,19,0463,YI01,SHELLSBURG PUBLIC LIBRARY,"111 PEARL STREET, SE",SHELLSBURG,52332,0000,3194362112,1463,1,0,0,0,0,0.5,0,0.5,9000,0,0,2490,11490,5325,37,5362,2125,1937,9424,0,8004,33,0,0,20,1040,NA,NA,10092,0,21
IA,0464,19,0464,YK01,ANAMOSA PUBLIC LIBRARY,100 E FIRST,ANAMOSA,52205,0000,3194622183,6725,1,0,0,0,0,1.1,0,1.1,39251,0,0,3262,42513,13934,2845,16779,13507,3841,34127,2364,16731,75,0,0,42,1508,14260,1560,25391,7,137
IA,0465,19,0465,YL01,CASCADE PUBLIC LIBRARY,301 1ST AVE W,CASCADE,52033,0199,3198523222,1812,1,0,0,0,0,0.7,0.5,1.2,22396,0,0,1960,24356,12948,1698,14646,5710,3530,23886,0,15616,18,0,1,23,1456,9084,NA,22608,0,125
IA,0466,19,0466,YM01,MONTICELLO PUBLIC LIBRARY,116 E GRAND,MONTICELLO,52310,1617,3194653354,5147,1,0,0,0,0,1,0.9,1.9,46576,0,0,1403,47979,22982,0,22982,9244,4728,36954,9220,19370,174,0,57,70,1820,16900,1328,38703,40,390
IA,0467,19,0467,YN01,MORLEY PUBLIC LIBRARY,MAIN ST. BOX 534,MORLEY,52312,0000,3194899211,941,1,0,0,0,0,0.05,0.05,0.1,3627,0,0,547,4174,250,0,250,2883,256,3389,0,11213,0,0,23,7,572,NA,2622,6998,0,1
IA,0468,19,0468,YO01,OLIN PUBLIC LIBRARY,303 JACKSON ST.,OLIN,52320,0000,3194842944,1861,1,0,0,0,0,0.4,0,0.4,7415,0,0,1374,8789,3787,0,3787,2478,1418,7683,0,8228,158,0,118,13,832,1612,1612,3875,0,26
IA,0469,19,0469,YP01,OXFORD JUNCTION PUBLIC LIBRARY,105 WEST BROADWAY,OXFORD JUNCTION,52323,0000,3194862400,1779,1,0,0,0,0,0.3,0,0.3,6300,0,0,4450,10750,3387,0,3387,4200,2389,9976,1439,9000,12,0,0,22,624,2600,52,7548,0,125
IA,0470,19,0470,YQ01,WYOMING PUBLIC LIBRARY,109 MAIN STREET,WYOMING,52362,,3194883975,8175,1,0,0,0,0,0.37,0,0.37,7285,95,0,824,8204,4518,0,4518,2153,2222,8893,0,10677,120,0,102,11,780,7562,407,13581,0,165
IA,0471,19,0471,YR01,CALAMUS PUBLIC LIBRARY,"2ND & MAIN, BOX 130-A",CALAMUS,52729,0000,3192462270,379,1,0,0,0,0,0.05,0,0.05,1229,0,0,4,1233,607,0,607,153,0,760,0,2072,0,0,0,0,104,260,NA,383,0,3
IA,0472,19,0472,YS01,CAMANCHE PUBLIC LIBRARY,102 12 AVE,CAMANCHE,52730,0000,3192591106,4960,1,0,0,0,0,0.7,0.75,1.45,64649,884,0,1739,67272,43593,6467,50060,16208,13655,79923,0,29687,648,0,0,174,2132,8510,3549,38466,50,175
IA,0473,19,0473,YT01,CLINTON PUBLIC LIBRARY,306 8TH AVENUE S,CLINTON,52732,0000,3192428441,30039,1,1,0,0,4,8,9.36,17.36,438203,1568,0,35454,475225,299197,738,299935,99693,68206,467834,8950,120246,3188,0,11,305,6136,141621,6868,207153,121,238
IA,0474,19,0474,YU01,DE WITT PUBLIC LIBRARY,505 10TH ST.,DE WITT,52742,0000,3196595523,12055,1,0,0,1,0,2.12,0.75,2.87,77276,345,0,13317,90938,31890,3818,35708,27972,21019,84699,15455,18319,770,0,17,92,2600,42254,1103,68375,25,285
IA,0475,19,0475,YV01,LOST NATION PUBLIC LIBRARY,BOX 397,LOST NATION,52254,0000,3196782114,1514,1,0,0,0,0,0.15,0,0.15,2541,0,0,1226,3767,1223,164,1387,1593,90,3070,0,8212,0,0,15,6,312,1523,163,1497,0,65
IA,0476,19,0476,YW01,TIPTON PUBLIC LIBRARY,206 CEDAR STREET,TIPTON,52772,0000,3198866266,5035,1,0,0,1,0,1.7,0.98,2.68,48809,0,0,3748,52557,33538,0,33538,15851,6168,55557,6991,25810,308,0,19,61,2808,15964,11554,49397,85,132
IA,0477,19,0477,YX01,CLARENCE PUBLIC LIBRARY,309 6TH AVE,CLARENCE,52216,0000,3194523734,1700,1,0,0,1,0,0.5,0,0.5,10027,0,0,946,10973,5174,0,5174,1968,479,7621,677,10212,220,0,10,6,1040,3000,375,5509,3,30
IA,0478,19,0478,YY01,MECHANICSVILLE PUBLIC LIBRARY,218 EAST 1ST,MECHANICSVILLE,52306,0370,3194327135,1946,1,0,0,0,0,0.67,0,0.67,11360,0,0,843,12203,6611,0,6611,1745,1726,10082,1962,8237,234,0,111,30,1404,9403,473,13298,0,256
IA,0479,19,0479,YZ01,STANWOOD PUBLIC LIBRARY,110 E BROADWAY,STANWOOD,52337,0000,3199453531,1495,1,0,0,0,0,0.35,0,0.35,4321,0,0,1083,5404,2643,353,2996,842,1892,5730,0,7111,56,17,22,3,728,NA,NA,5297,0,37
IA,0480,19,0480,ZA01,WHEATLAND PUBLIC LIBRARY,"CITY HALL, BOX 428",WHEATLAND,52777,0000,3193741534,1142,1,0,0,1,0,0.45,0,0.45,7675,0,0,305,7980,2936,0,2936,1996,1575,6507,1700,4302,30,0,0,5,936,1714,260,3845,0,122
IA,0481,19,0481,ZB01,DENISON PUBLIC LIBRARY,1403 1ST AVE SOUTH,DENISON,51442,0000,7122639355,10582,1,0,0,0,0,2.6,2.43,5.03,118684,20,0,5936,124640,55181,7650,62831,33212,22648,118691,0,39759,1193,0,118,169,2600,55536,2035,135425,92,413
IA,0513,19,0513,ZC01,DOW CITY PUBLIC LIBRARY,MAIN STREET,DOW CITY,51528,0000,7126743453,616,1,0,0,0,0,0.1,0,0.1,3500,0,0,525,4025,979,0,979,1106,2438,4523,0,4848,78,0,72,0,78,NA,NA,1933,0,0
IA,0514,19,0514,ZD01,MANILLA PUBLIC LIBRARY,MAIN ST,MANILLA,51454,0000,7126545192,898,1,0,0,0,0,0.2,0,0.2,5675,0,0,0,5675,1988,0,1988,1996,0,3984,0,7606,0,5,0,2,416,1868,10,5413,0,31
IA,0483,19,0483,ZE01,SCHLESWIG PUBLIC LIBRARY,202 CEDAR,SCHLESWIG,51461,0000,7126763470,2414,1,0,0,0,0,0.2,0.18,0.38,6935,0,0,961,7896,2609,272,2881,1491,2813,7185,0,10691,49,0,26,5,468,2067,40,2934,0,44
IA,0515,19,0515,ZF01,WESTSIDE PUBLIC LIBRARY,150 MAIN ST,WESTSIDE,51467,0000,7126634493,348,1,0,0,0,0,0.14,0,0.14,3250,0,0,424,3674,NA,NA,NA,1922,1500,3422,0,NA,0,0,0,0,208,1236,NA,3548,0,12
IA,0484,19,0484,ZG01,CHARTER OAK PUBLIC LIBRARY,461 RAILROAD,CHARTER OAK,51439,0000,7126783425,1445,1,0,0,0,0,0.21,0.01,0.22,3500,0,0,179,3679,1818,66,1884,752,1265,3901,0,6160,8,0,114,3,416,2000,1040,3767,0,55
IA,0485,19,0485,ZJ01,DUNLAP PUBLIC LIBRARY,102 SOUTH 8TH ST,DUNLAP,51529,0000,7126435311,2363,1,0,0,0,0,0.5,0,0.5,11063,0,0,1809,12872,8900,1477,10377,3595,4352,18324,141,11769,219,0,0,39,1040,8258,NA,18927,8,103
IA,0486,19,0486,ZK01,LOGAN PUBLIC LIBRARY,121 E 6TH ST,LOGAN,51546,0000,7126442551,2652,1,0,0,0,0,1.38,0,1.38,30690,0,0,1816,32506,15165,2022,17187,8068,3645,28900,0,13892,120,0,20,58,1872,13205,1456,28319,50,198
IA,0487,19,0487,ZL01,MISSOURI VALLEY PUBLIC LIBRARY,119 N. 5TH STREET,MISSOURI VALLEY,51555,0000,7126424111,4347,1,0,0,0,0,1.95,0,1.95,53946,0,0,1613,55559,26265,4337,30602,9577,5927,46106,6176,22715,537,0,0,88,1924,20280,276,22763,35,52
IA,0488,19,0488,ZM01,MODALE PUBLIC LIBRARY,,MODALE,51556,0000,7126452267,1192,1,0,0,0,0,0.25,0.25,0.5,6700,0,0,2053,8753,2869,352,3221,2152,2062,7435,1947,7664,32,0,4,33,520,1085,112,3184,2,14
IA,0489,19,0489,ZN01,MONDAMIN PUBLIC LIBRARY,BOX M,MONDAMIN,51557,0000,7126462888,1515,1,0,0,0,0,0.5,0,0.5,4314,0,0,338,4652,4075,456,4531,1276,1302,7109,940,10245,37,6,0,8,1040,2738,1872,6971,1,209
IA,0490,19,0490,ZO01,WOODBINE PUBLIC LIBRARY,58-5TH STREET,WOODBINE,51579,0000,7126472750,2612,1,0,0,0,0,1.15,0,1.15,30961,0,0,2935,33896,12974,970,13944,6948,5188,26080,0,17148,889,0,9,58,1092,9453,289,12952,23,62
IA,0491,19,0491,ZP01,ARTHUR PUBLIC LIBRARY,224 SOUTH MAIN ST.,ARTHUR,51431,0000,7123672230,835,1,0,0,0,0,0.15,0,0.15,4435,0,0,458,4893,1217,128,1345,1765,1540,4650,0,3410,15,0,0,19,312,1105,NA,2069,0,18
IA,0516,19,0516,ZQ01,BATTLE CREEK PUBLIC LIBRARY,115 MAIN,BATTLE CREEK,51006,0000,7123654646,818,1,0,0,0,0,0.5,0,0.5,7705,0,0,331,8036,4132,517,4649,0,0,4649,0,9781,50,0,0,45,1040,7446,520,13761,0,155
IA,0517,19,0517,ZR01,GALVA PUBLIC LIBRARY,203 MAIN STREET,GALVA,51020,0000,7122824400,398,1,0,0,0,0,0.37,0,0.37,6255,0,0,2700,8955,2675,275,2950,1575,1695,6220,0,6183,31,0,3,25,780,5460,900,4687,0,55
IA,0492,19,0492,ZS01,HOLSTEIN PUBLIC LIBRARY,209 EAST SECOND,HOLSTEIN,51025,0910,7123684563,2505,1,0,0,0,0,1.1,0,1.1,32323,0,0,3167,35490,13717,1640,15357,7000,6058,28415,0,17767,177,0,127,80,1300,15960,7800,35200,23,425
IA,0493,19,0493,ZT01,IDA GROVE PUBLIC LIBRARY,100 E. 2ND STREET,IDA GROVE,51445,0000,7123642306,4222,1,0,0,0,0,1,1,2,34823,0,0,1208,36031,16255,3757,20012,5590,0,25602,0,13421,361,0,0,83,1716,15026,729,25580,23,407
IA,0494,19,0494,ZU01,ONAWA PUBLIC LIBRARY,707 IOWA AVE,ONAWA,51040,0000,7124231733,5648,1,0,0,0,0,1.85,1.6,3.45,52875,0,0,3744,56619,40193,4615,44808,7808,4899,57515,0,25016,537,0,48,104,2184,22048,5352,48858,193,178
IA,0495,19,0495,ZV01,WHITING PUBLIC LIBRARY,421 WHITTIER,WHITING,51063,0288,7124582612,1316,1,0,0,0,0,0.56,0,0.56,22569,0,0,294,22863,7020,1064,8084,8130,3879,20093,4243,11046,63,0,2,67,1040,7228,742,15877,141,327
IA,0497,19,0497,ZX01,MAPLETON PUBLIC LIBRARY,609 COURTRIGHT,MAPLETON,51034,0000,7128821312,1495,1,0,0,0,0,1.5,0,1.5,26859,0,0,16527,43386,15796,2945,18741,8564,11152,38457,0,13508,155,0,100,67,1456,18734,1115,20528,17,226
IA,0498,19,0498,ZY01,HARLAN PUBLIC LIBRARY,718 COURT,HARLAN,51537,0000,7127555934,10907,1,0,0,3,0,3.44,0.75,4.19,107502,292,0,23538,131332,55608,20254,75862,26158,28025,130045,0,28519,1337,52,445,111,2600,59904,4836,86732,317,626
KS,0001,20,0001,FSCS0001,Randall Public Library,P.O. Box 101,Randall,66963,NA,9137392380,100,1,0,0,0,0,1,1,2,889,54,0,1716,2659,604,77,681,1300,528,2509,0,3142,7,0,2,30,2340,2340,1,1468,7,1
KS,0002,20,0002,FSCS0002,"Sunshine City Library, Prairie View",402 1st St.,Prairie View,67664,NA,9139732265,120,1,0,0,0,-1,-1,-1,-1,1466,59,0,1465,2990,0,0,0,1327,1600,2927,0,3050,17,19,NA,40,520,1040,1,1287,2,7
KS,0003,20,0003,FSCS0003,Formoso Public Library,204 Main St.,Formoso,66942,0010,9137942424,180,1,0,0,0,0,2,0,2,3084,83,0,1465,4632,2197,168,2365,780,1487,4632,0,4098,0,30,13,18,520,832,4,729,5,5
KS,0004,20,0004,FSCS0004,Long Island Community Library,P.O. Box 35,Long Island,67647,NA,9138547671,180,1,0,0,0,0,1,0,1,876,83,0,1430,2389,707,0,707,1371,311,2389,0,4354,130,86,26,30,520,1300,1,3005,19,12
KS,0005,20,0005,FSCS0005,"Rae Hobson Memorial Library, Republic",P.O. Box 3,Republic,66964,0003,9133612481,150,1,0,0,0,0,2,0,2,2034,83,0,1388,3505,1127,0,1127,1138,1195,3460,0,4776,0,0,106,5,520,1820,2,2219,8,8
KS,0006,20,0006,FSCS0006,Gaylord Library,P.O. Box 547,Gaylord,67638,NA,9136972722,190,1,0,0,0,-1,-1,-1,-1,1005,98,0,0,1103,0,0,0,53,672,725,0,3464,0,0,0,0,312,NA,0,1477,0,0
KS,0007,20,0007,FSCS0007,McCracken Public Library,Main St.,McCracken,67556,0125,9133942444,230,1,0,0,0,0,2,0,2,3923,100,0,1375,5398,2200,0,2200,1250,2000,5450,0,6349,0,7,0,12,988,2756,7,3249,57,57
KS,0008,20,0008,FSCS0008,Burdett Community Library,Elm St.,Burdett,67523,NA,3165256588,230,1,0,0,0,-1,-1,-1,-1,640,0,0,0,640,0,0,0,365,47,412,0,2415,0,0,0,2,104,416,0,1297,0,0
KS,0009,20,0009,FSCS0009,Kirwin City Library,P.O. Box 445,Kirwin,67644,0445,9135436652,280,1,0,0,0,0,1,0,1,2711,137,0,1365,4213,900,0,900,1097,1150,3147,0,7680,150,9,2,16,1404,1560,4,5341,18,24
KS,0010,20,0010,FSCS0010,Bison Community Library,P.O. Box 406,Bison,67520,NA,9133564803,280,1,0,0,0,0,1,0,1,1794,142,0,1352,3288,179,126,305,1507,1003,2815,0,NA,NA,NA,NA,21,780,NA,NA,NA,NA,NA
KS,0011,20,0011,FSCS0011,Burr Oak City Library,P.O. Box 55,Burr Oak,66936,0055,9136478181,280,1,0,1,0,-1,-1,-1,-1,1236,152,0,1155,2543,0,8,8,1136,152,1296,1296,6075,25,0,0,14,1040,2132,8,3171,22,30
KS,0012,20,0012,FSCS0012,Palco Public Library,"305 Main, P.O. Box 218",Palco,67657,0218,9137374286,290,1,0,0,0,0,3,1,4,5616,157,0,1430,7203,3838,275,4113,1406,1913,7432,0,8294,0,0,8,35,936,2600,7,5544,20,214
KS,0013,20,0013,FSCS0013,Sylvan Grove Public Library,Sylvan Grove,Sylvan Grove,67481,NA,9135267188,280,1,0,0,0,0,1,0,1,2020,162,0,1456,3638,1795,297,2092,1537,268,3897,0,4472,0,0,0,20,520,1248,5,3436,4,48
KS,0014,20,0014,FSCS0014,"F. Lee Doctor Public Library, Agra",P.O. Box 97,Agra,67621,NA,9136382444,340,1,0,0,0,0,1,0,1,1464,162,0,1263,2889,582,0,582,1201,951,2734,0,2409,77,0,18,30,2080,3900,5,4015,8,11
KS,0015,20,0015,FSCS0015,Lebanon City Library,N. Main St.,Lebanon,66952,NA,9133895711,360,1,0,0,0,0,1,0,1,2704,181,0,1465,4350,2700,0,2700,1278,263,4241,0,9270,0,0,0,16,780,2860,0,2551,0,12
KS,0016,20,0016,FSCS0016,Courtland Community Library,Main St.,Courtland,66939,NA,9133744460,350,1,0,0,0,0,1,1,2,3226,181,0,1465,4872,1797,137,1934,1274,1404,4612,0,4838,2,0,7,36,520,1820,5,4032,16,15
KS,0017,20,0017,FSCS0017,Jamestown City Library,"415 Walnut, P.O. Box 287",Jamestown,66948,NA,9134396258,400,1,0,0,0,0,2,0,2,3609,181,0,1375,5165,1960,0,1960,991,1001,3952,3952,8061,100,24,1,10,520,1664,4,3970,0,28
KS,0018,20,0018,FSCS0018,Gypsum Community Library,"521 Maple, P.O. Box 8",Gypsum,67448,NA,9135364296,450,1,0,0,0,0,1,0,1,1328,196,0,1615,3139,1689,140,1829,692,555,3076,0,4449,34,0,14,10,624,2184,10,1825,364,42
KS,0019,20,0019,FSCS0019,Otis Community Library,P.O. Box 7,Otis,67565,NA,9133872403,380,1,0,0,0,0,1,0,1,3094,197,0,1465,4756,0,0,0,2095,298,2393,0,5265,0,0,12,45,988,3900,10,5781,9,148
KS,0020,20,0020,FSCS0020,Scandia City Library,P.O. Box 220,Scandia,66966,NA,9133352271,420,1,0,0,0,0,1,1,2,5668,211,0,1715,7594,3686,262,3948,949,1975,6872,0,7615,160,0,6,35,832,4420,5,6845,13,72
KS,0021,20,0021,FSCS0021,Lucas Public Library,209 S. Main,Lucas,67648,NA,9135256305,430,1,0,0,0,0,1,0,1,3846,240,0,1765,5851,3144,247,3391,940,1053,5384,541,4572,0,0,3,24,832,1300,2,3600,12,90
